2018-04-27 12:11:22  INFO ContextLoader.initWebApplicationContext(285) | Root WebApplicationContext: initialization started
2018-04-27 12:11:22  INFO XmlWebApplicationContext.prepareRefresh(510) | Refreshing Root WebApplicationContext: startup date [Fri Apr 27 12:11:22 CST 2018]; root of context hierarchy
2018-04-27 12:11:22  INFO XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from file [E:\毕设\hj\hpetshop-rest\target\classes\spring\applicationContext-dao.xml]
2018-04-27 12:11:22  INFO XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from file [E:\毕设\hj\hpetshop-rest\target\classes\spring\applicationContext-service.xml]
2018-04-27 12:11:23  INFO PropertySourcesPlaceholderConfigurer.loadProperties(172) | Loading properties file from file [E:\毕设\hj\hpetshop-rest\target\classes\resource\jdbc.properties]
2018-04-27 12:11:23  INFO PropertySourcesPlaceholderConfigurer.loadProperties(172) | Loading properties file from file [E:\毕设\hj\hpetshop-rest\target\classes\resource\redis.properties]
2018-04-27 12:11:23  INFO AutowiredAnnotationBeanPostProcessor.<init>(153) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-04-27 12:11:25  INFO ContextLoader.initWebApplicationContext(325) | Root WebApplicationContext: initialization completed in 3245 ms
2018-04-27 12:11:25  INFO DispatcherServlet.initServletBean(484) | FrameworkServlet 'hpetshop-rest': initialization started
2018-04-27 12:11:25  INFO XmlWebApplicationContext.prepareRefresh(510) | Refreshing WebApplicationContext for namespace 'hpetshop-rest-servlet': startup date [Fri Apr 27 12:11:25 CST 2018]; parent: Root WebApplicationContext
2018-04-27 12:11:25  INFO XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring/springmvc.xml]
2018-04-27 12:11:26  INFO AutowiredAnnotationBeanPostProcessor.<init>(153) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-04-27 12:11:26  INFO RequestMappingHandlerMapping.registerHandlerMethod(220) | Mapped "{[/content/list/{categoryId}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.hpetshop.utils.Result com.hpetshop.rest.controller.ContentController.getContent(java.lang.Long)
2018-04-27 12:11:26  INFO RequestMappingHandlerMapping.registerHandlerMethod(220) | Mapped "{[/itemcat/all],methods=[],params=[],headers=[],consumes=[],produces=[application/json;charset=utf-8],custom=[]}" onto public java.lang.String com.hpetshop.rest.controller.ItemCatController.getCatList(java.lang.String)
2018-04-27 12:11:26  INFO RequestMappingHandlerMapping.registerHandlerMethod(220) | Mapped "{[/info/itemBaseInfo/{itemId}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.hpetshop.utils.Result com.hpetshop.rest.controller.ItemController.getItem(long)
2018-04-27 12:11:26  INFO RequestMappingHandlerMapping.registerHandlerMethod(220) | Mapped "{[/info/itemDescInfo/{itemId}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.hpetshop.utils.Result com.hpetshop.rest.controller.ItemDescController.getItemDesc(long)
