2018-04-23 09:51:23  INFO ContextLoader.initWebApplicationContext(285) | Root WebApplicationContext: initialization started
2018-04-23 09:51:23  INFO XmlWebApplicationContext.prepareRefresh(510) | Refreshing Root WebApplicationContext: startup date [Mon Apr 23 09:51:23 CST 2018]; root of context hierarchy
2018-04-23 09:51:23  INFO XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from file [E:\毕设\hj\hpetshop-search\target\classes\spring\applicationContext-dao.xml]
2018-04-23 09:51:25  INFO XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from file [E:\毕设\hj\hpetshop-search\target\classes\spring\applicationContext-service.xml]
2018-04-23 09:51:26  INFO PropertySourcesPlaceholderConfigurer.loadProperties(172) | Loading properties file from file [E:\毕设\hj\hpetshop-search\target\classes\resource\jdbc.properties]
2018-04-23 09:51:26  INFO PropertySourcesPlaceholderConfigurer.loadProperties(172) | Loading properties file from file [E:\毕设\hj\hpetshop-search\target\classes\resource\solr.properties]
2018-04-23 09:51:26  INFO AutowiredAnnotationBeanPostProcessor.<init>(153) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-04-23 09:51:29  INFO ContextLoader.initWebApplicationContext(325) | Root WebApplicationContext: initialization completed in 6099 ms
2018-04-23 09:51:29  INFO DispatcherServlet.initServletBean(484) | FrameworkServlet 'hpetshop-search': initialization started
2018-04-23 09:51:29  INFO XmlWebApplicationContext.prepareRefresh(510) | Refreshing WebApplicationContext for namespace 'hpetshop-search-servlet': startup date [Mon Apr 23 09:51:29 CST 2018]; parent: Root WebApplicationContext
2018-04-23 09:51:29  INFO XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring/springmvc.xml]
2018-04-23 09:51:29  INFO AutowiredAnnotationBeanPostProcessor.<init>(153) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-04-23 09:51:29  INFO RequestMappingHandlerMapping.registerHandlerMethod(220) | Mapped "{[/query],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.hpetshop.utils.Result com.hpetshop.search.controller.SearchCotroller.search(java.lang.String,java.lang.Integer,java.lang.Integer)
2018-04-23 09:51:29  INFO RequestMappingHandlerMapping.registerHandlerMethod(220) | Mapped "{[/solr/manager/importall],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.hpetshop.utils.Result com.hpetshop.search.controller.SolrItemController.importItemToSolr()
2018-04-23 09:51:29  INFO RequestMappingHandlerMapping.registerHandlerMethod(220) | Mapped "{[/solr/manager/del/{itemId}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.hpetshop.utils.Result com.hpetshop.search.controller.SolrItemController.delItemToSolrById(long)
2018-04-23 09:51:29  INFO RequestMappingHandlerMapping.registerHandlerMethod(220) | Mapped "{[/solr/manager/uploadOrSave],methods=[POST],params=[],headers=[],consumes=[],produces=[application/json;charset=utf-8],custom=[]}" onto public com.hpetshop.utils.Result com.hpetshop.search.controller.SolrItemController.uploadOrSaveItemToSolrById(java.lang.String)
2018-04-23 09:51:29  INFO RequestMappingHandlerMapping.registerHandlerMethod(220) | Mapped "{[/solr/manager/delall],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.hpetshop.utils.Result com.hpetshop.search.controller.SolrItemController.delItemToSolr()
2018-04-23 09:51:31  INFO RequestMappingHandlerAdapter.initControllerAdviceCache(518) | Looking for @ControllerAdvice: WebApplicationContext for namespace 'hpetshop-search-servlet': startup date [Mon Apr 23 09:51:29 CST 2018]; parent: Root WebApplicationContext
2018-04-23 09:51:31  INFO RequestMappingHandlerAdapter.initControllerAdviceCache(518) | Looking for @ControllerAdvice: WebApplicationContext for namespace 'hpetshop-search-servlet': startup date [Mon Apr 23 09:51:29 CST 2018]; parent: Root WebApplicationContext
2018-04-23 09:51:31  INFO DispatcherServlet.initServletBean(503) | FrameworkServlet 'hpetshop-search': initialization completed in 2247 ms
